"이용섭 광주시장 ""인공지능 중심 산업융합 집적단지 조성 박차 가해야""",http://www.enewstoday.co.kr/news/articleView.html?idxno=1350171
‘인공지능 중심도시 광주’ 순풍 돛 올렸다,http://www.jndn.com/article.php?aid=1592129323301983001
오프닝+광주 지역 첫 인공지능 채용설명회..지역인재 채용 관심,http://ikbc.co.kr/kor/news?mode=view&nwCd=main_news_02&menuId=56_65_73&nwid=359508
"광주시, 대한민국 인공지능 강국 견인한다",https://www.jnilbo.com/view/media/view?code=2020051716173337327
"[2020 신년 특집]광주, 인공지능 인재양성 요람으로",http://www.namdonews.com/news/articleView.html?idxno=554849
"광주시, 대한민국 인공지능 4대 강국 견인한다",http://www.boannews.com/media/view.asp?idx=88221&kind=
[AI브리핑] 31일까지 광주AI사관학교 교육생 모집,http://www.aitimes.com/news/articleView.html?idxno=128357
"광주시, 대한민국 인공지능 4대 강국 견인한다",http://www.newskr.kr/news/articleView.html?idxno=42750
광주시 ‘인공지능 중심도시’ 비전 선포,https://view.asiae.co.kr/article/2020012914393755723
광주 ‘AI 집적단지’ 인프라 조성 잰걸음,http://www.jndn.com/article.php?aid=1587550681299383001
"광주시, 인공지능 4대강국 대한민국 견인차",https://www.nocutnews.co.kr/news/5261009
광주 지역 첫 인공지능 채용설명회..지역인재 채용 관심,http://ikbc.co.kr/kor/news?mode=view&nwCd=main_news_05&menuId=56_65_76&nwid=359526
이용섭 시장 “인공지능 광주시대 활짝 열 것”,http://www.gjdream.com/v2/news/view.html?news_type=201&uid=502092
[민선 7기 후반기…단체장에 듣는다] 이용섭 광주시장,http://www.kjdaily.com/read.php3?aid=1593514564515927036
"이용섭 광주시장, 12월 정례조회 시장 당부사항(전문)",http://www.namdonews.com/news/articleView.html?idxno=551554
"이용섭 광주시장 ""인공지능 광주시대를 활짝 열겠습니다""",https://www.nocutnews.co.kr/news/5283394
"이용섭, 광주 인공지능산업 육성해 자동차와 에너지 시너지 노려",http://www.businesspost.co.kr/BP?command=article_view&num=156265
"[특집] 광주여대, AI융합학과 신설…빅데이터‧VR 분야 여성인재 양성한다",http://www.aitimes.com/news/articleView.html?idxno=128703
"광주시, 정부와 인공지능 산업육성 발맞춰 간다",https://www.nocutnews.co.kr/news/5234484
"""인공지능 광주시대 열겠다"" 이용섭 시장 '산학협동포럼' 특강",http://news1.kr/articles/?3817331
"광주시-교육기관, 인공지능 인재 양성 나선다",http://www.boannews.com/media/view.asp?idx=85895&kind=
